,Question
44,"
<p>Suppose you are writing a Java program to be used to manage information about the inventory in a store. The store&rsquo;s products include pagers, cell phones, and cameras. The cell phones are used for both communication and taking pictures, the pagers are only used for communication, and the cameras are used for taking pictures.</p>
<p>Assume that a <code>Product</code> class has been defined. Which of the following is the best way to represent the remaining data?</p>
"
45,"
<p>Consider the following short program, which does not meet all institutional coding standards:</p>
<p>void vCodeString(char szText[ ]); /* First line */</p>
<p>#include &lt;stdio.h&gt;</p>
<p>#include &lt;string.h&gt;</p>
<p>#define MAX_LEN 12</p>
<p>int main(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; char szData[MAX_LEN];</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Enter some text to code: "");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; scanf(""%s"", szData);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; vCodeString(szData); /* Line 8 */</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Coded string is %s\n"", szData);</p>
<p>}</p>
<p>void vCodeString(char szText[ ])</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int i = -1;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; while(szText[++i])</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; szText[i] += (char)2;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>I would like to combine lines 8 and 9 into</p>
<p>printf(""Coded string is %s\n"", vCodeString(szData));</p>
<p>Unfortunately, this gives me a syntax error. Why?</p>
"
46,<p>The binary value 11011101 when coverted into a decimal value from two's complement notation is:</p>
47,"
<p>Note draft only topics and explanation tba</p>
<p>Consider the following short program:</p>
<p>#include &lt;stdio.h&gt;</p>
<p>void f1(void);</p>
<p>int a;</p>
<p>void main(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int b;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; a = b = 1;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; f1();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""%d %d"", a, b);</p>
<p>}</p>
<p>void f1(void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int b = 3;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; a = b;</p>
<p>}</p>
<p>The output from the print statement will be:</p>
"
48,<p>Finding the minimum value in a complete and&nbsp;balanced binary search tree is</p>
49,<p>An interface in Java can appropriately be used to model</p>
50,"<p>Suppose you are defining a Java&nbsp;<code>ProductItem</code> class to store information about the inventory in a store, and you want to give the class an instance variable for the number of those items currently in stock. Choose the best datatype for modeling this number:</p>"
51,"
<p>Suppose you have a tree with a maximum depth of d and an average branching factor of b (i.e. each node has b children).&nbsp; You are searching for a particular node S located at depth m (m &lt;= d).&nbsp; You don't know where the node S is located, just that it is at depth m.</p>
<p>What is an upper bound on the runtime complexity of breadth-first search (i.e. big-O notation) to find the node S starting from the root?</p>
"
52,"
<p>What wil the following code print, assuming that N is a positive integer?</p>
<pre lang=""text/x-java"">int count=0;
for (int i=0; i&lt;<strong>N</strong>; i++) {
   if (i % 2 == 0) {
      count++;
   }
}
System.out.println(count);
</pre>
"
53,<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs (N/2)<sup>3</sup> operations. Algorithm B performs N<sup>2</sup> operations. Under what conditions does algorithm A offer strictly better performance?</p>
54,"
<p>Identify the bug in the following Java code (if any):</p>
<p><br><code>public boolean search(T item,ListADT&lt;T&gt; list){ // 1</code></p>
<pre lang=""text/x-java"">   if (list == null) // 2
      return false; // 3
   else if (list.first()==item) // 4
      return true; // 5
   else // 6
      return this.search(item, list.rest()); // 7
} // 8
</pre>
"
55,<p>Suppose QueueADT is implemented using a singly linked list. What is the lowest Big-Oh time complexity that can be achieved for an enqueue&nbsp;method?:</p>
56,<p>What terminates a failed linear probe in a full hashtable?</p>
57,<p>Which of the following assertions is <em>incorrect</em>?</p>
58,"
<p>Consider the following class for a Ninja:</p>
<pre lang=""text/x-java"">public class Ninja {
  private int honor;
  public Ninja(int h) {
   this.honor=h;
  }
}
</pre>
<p>&nbsp;</p>
<p>Suppose we instantiate two Ninjas like this:</p>
<pre lang=""text/x-java"">Ninja n1=new Ninja(50);
Ninja n2=new Ninja(50);
</pre>
<p>&nbsp;</p>
<p>Is the following statement True, False, or It Depends:</p>
<p>n1 == n2</p>
"
59,<p>What is<strong> not</strong> a property of a max-heap?</p>
60,<p>Barack Obama wants to know the most efficient way to sort a million 32-bit integers. He knows it&rsquo;s not bubble sort. What is?</p>
61,"
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 2</strong> so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
"
62,<p>You are writing a depth-first search on a platform that doesn't support recursion. What data structure can help you complete your task?</p>
63,<p>The worst-case time complexity of radix sort is:</p>
64,<p>A chained hash table has an array size of 512. What is&nbsp;the maximum number of entries that can be placed in&nbsp;the table?</p>
65,"
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 6</strong> so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
"
66,"
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = y[first];          // line 1
 
  for (int i=first+1; i&lt;=last; i++)
  {
    if ( y[i] &lt; y[bestSoFar] )       // line 2
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = y[i];&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
"
67,<p>What is the size of the largest max-heap which is also a BST?</p>
68,"
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = y[first];          // line 1
 
  for (int i=first+1; i&lt;=last; i++)
  {
    if ( y[i] &lt; bestSoFar )          // line 2
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = i;&nbsp; &nbsp; &nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
"
69,"
<p>How many objects and object reference would we have if the following code is executed?</p>
<p>Student first_st = new Student();</p>
<p>Student second_st = new Student();</p>
<p>Student third_st = second_st;</p>
"
70,"<p>Suppose you try to perform a binary search on the unsorted array {1, 4, 3, 7, 15, 9, 24}. How many of the items in this array will be found if they are searched for?</p>"
71,"
<p>Consider the following class for a Ninja:</p>
<pre lang=""text/x-java"">public class Ninja {
  private int honor;
  public Ninja(int h) {
    this.honor=h;
  }
}
</pre>
<p>&nbsp;</p>
<p>Suppose we instantiate two Ninjas like this:</p>
<pre lang=""text/x-java"">Ninja n1=new Ninja(50);
Ninja n2=new Ninja(50);
</pre>
<p>&nbsp;</p>
<p>Is the following statement True, False, or It Depends (i.e. depends on a factor external to this question)</p>
<p>n1.equals(n2)</p>
"
72,<p>Dummy question: Bloom tags.&nbsp;</p>
73,"
<p>How many number will be printed if n = 5?</p>
<p>public static void cSeries(int n) {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.print(n + "" "");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if (n == 1) return;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if (n % 2 == 0) cSeries(n / 2);</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; else cSeries(3*n + 1);</p>
<p>}</p>
"
74,"
<p>For Club Scripting, to be a member a person must be aged 15 or older, but less than<br>50. What values would you use to boundary test a script designed to check if a<br>person was a suitable age to join?</p>
"
76,"
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 5</strong>&nbsp;so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
"
77,<p>You need to traverse a singly-linked list in reverse. What's the best worst-case performance you can achieve?</p>
78,<p>Which data structure&nbsp;can be used to implement an abstract datatype&nbsp;such as the StackADT or QueueADT?</p>
79,<p>Which data structure uses space more efficiently if the program is storing substantially less data than expected?</p>
80,"
<p>How many objects are created in the following declaration?</p>
<p>String[] names = new String[10];</p>
"
81,"<p>We say indexing is fast if it's done in O(1) time, searching is fast if done in O(lg N) time, and inserting and deleting are fast if done in O(1) time. Compared to other data structures, unsorted linked lists offer:</p>"
82,"
<p>Consider the following code snippet that copies elements (pixels) from one 2-d array (called pict), with maximum dimensions of maxWidth and maxHeight into another 2-d array called canvas.</p>
<p>canvas = [][]<br>for row in range (0, maxHeight):<br>&nbsp; &nbsp; for col in range (0, maxWidth):<br>&nbsp; &nbsp; &nbsp; &nbsp; origPixel = pict[col][row]<br>&nbsp; &nbsp; &nbsp; &nbsp; canvas[width-1-col][row = origPixel</p>
<p>If one were to display canvas, how would it compare to the orignal picture (as represented by pict)?</p>
"
83,<p>What is a shorter way to write <code>if(p == NULL)</code> ?</p>
84,<p>An example of something that could be built using&nbsp;a QueueADT is a structure that models:</p>
85,"<p>This sorting algorithm splits the collection into two halves, sorts the two halves independently, and combines the results.</p>"
86,<p>Locating a new node's insertion point in a binary search tree stops when</p>
87,"<p>What are hash functions<strong> not</strong> used for? (Or at least, should not be used for.)</p>"
88,"
<p>How many objects are created in the following declaration?</p>
<code>String name;</code>
"
89,"<p>Nathan is on the run (apparently the US is about to invade Canada). He needs to grab food.<br>Each piece of food around him has a nutritional value, and a weight. He wants to put the<br>most calories in his backpack, but it can only hold up to certain weight. What should he<br>optimize for when deciding which foods to bring?</p>"
90,"<p>Suppose you are defining a Java <code>ProductItem</code> class to store information about the inventory in a store, and you want to give the class an instance variable for the price of that item. Which of the following is the best datatype for the instance variable that models the price?</p>"
91,"
<pre lang=""text/x-java"">1.public class FirstApp extends wheels.users.Frame {
2.    private wheels.users.Ellipse _ellipse;
3.
4.    public FirstApp() {
5.       _ellipse = new wheels.users.Ellipse();
6.    }
7.
8.    public static void main(String[] args) {
9.       FirstApp app = new FirstApp();
10.   }
11.}
</pre>
<p>&nbsp;</p>
<p>What does line 2 accomplish (cause to happen)?</p>
"
92,"<p>We say indexing is fast if it's done in O(1) time, searching is fast if done in O(lg N) time, and inserting and deleting are fast if done in O(1) time.&nbsp;Compared to other data structures, unsorted arrays offer:</p>"
93,"
<p>One of the things in Java that allows us to use polymorphism is that the declared type and actual type of a variable may be different.</p>
<p>In Java, the actual type of a parameter or variable&rsquo;s value can be any concrete class that is</p>
"
94,<p>An example of something that could be implemented using&nbsp;a Stack is:</p>
95,"
<p>Suppose you are writing software for a helpdesk. Each request is entered into the system as it arrives.&nbsp;</p>
<p>Which of the following abstract datatypes would be the best choice to ensure that the requests are handled in exactly the same order in which they arrive?</p>
"
96,"
<p>If an inorder traversal of a complete binary tree visits the nodes in the order ABCDEF (where each letter is the value of a node), which order are the nodes visited during an postorder traversal?</p>
"
97,<p>What is not true about a binary search tree?</p>
98,<p>Suppose you are trying to choose between an array and a singly linked list to store the data in your Java program. Which arguments would correctly support one side or the other?</p>
99,"<p>The insertion sort operates by maintaining a sorted list. When a new element is added, we traverse the list sequentially until will find the new element's appropriate location. Suppose instead that the new location was found using a binary search instead of a sequential search. What is the complexity of this new binary insertion sort?</p>"
100,<p>Suppose you try to perform a binary search on a 5-element array sorted in the reverse order of what the binary search algorithm expects. How many of the items in this array will be found if they are searched for?</p>
101,<p>Which data structure used to implement&nbsp;<code>Set</code>&nbsp;yields the worst performance for <code>Set.contains</code>?</p>
103,"<p>For a graph with N nodes, what's the minimum number of edges it must have for it to contain a cycle?</p>"
104,"
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 8</strong>&nbsp;so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
"
105,<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs log<sub>2</sub>&nbsp;N&nbsp;operations. Algorithm B performs log<sub>3</sub> N&nbsp;operations. Under what conditions does algorithm A offer better performance?</p>
106,<p>Finding the median value in a complete and balanced binary search tree is</p>
107,"<p>For a heap of size n, which is indexed at 0, at what position will its last child be?</p>"
108,<p>What design stategy does Quicksort use?</p>
109,"<p>If you did not have a base case in a recursive function in C, and were working on a modern Unix-based system, what would most likely happen?</p>"
110,"
<p>The following Python method determines whether or not a list of values, passed in as a parameter, has any duplicate values.</p>
<p>What is the Big-Oh running time of this algorithm?</p>
<p>def duplicates(lov):</p>
<p>&nbsp; &nbsp; dupCount = 0<br>&nbsp; &nbsp; outer = 0<br>&nbsp; &nbsp; while (outer &lt; len(lov)):<br>&nbsp; &nbsp; &nbsp; &nbsp; inner = outer + 1<br>&nbsp; &nbsp; &nbsp; &nbsp; while (inner &lt; len(lov)):</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; if (lov[inner] == lov[outer]):</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; dupCount = dupCount + 1</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; inner = inner + 1</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; outer = outer + 1</p>
<p>&nbsp; &nbsp; if (dupCount == 0):<br>&nbsp; &nbsp; &nbsp; &nbsp; print ""there are no duplicate values""<br>&nbsp; &nbsp; else:<br>&nbsp; &nbsp; &nbsp; &nbsp; print ""there are "", dupCount, "" duplicate values""</p>
"
111,"
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getTrue() || getTrue();
  }
}
</pre>
"
112,"<p>You are storing a complete binary tree in an array, with the root at index 0. At what index is node i's parent?</p>"
113,<p>Which of the following abstract datatypes would be the best choice for part of the implementation of&nbsp;the part of a compiler that determines whether the parentheses in a program are balanced?</p>
115,"
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getTrue() || getFalse();
  }
}
</pre>
"
116,"<p>Kexin is hashing the values 9, 45, 22, 48, 38 into a hash table of size 20. Which hash function will give her no collisions?</p>"
118,"
<p>True or False:</p>
<p>Breadth-first search (BFS) and Depth-first search (DFS) visit nodes of a graph in the same order only if the graph looks like a linear chain, or linked list, and the traversal starts at one of the ends.</p>
<p>For example, BFS and DFS starting at node A are the same for the following graph:</p>
<p>A &lt;-&gt; B &lt;-&gt; C</p>
"
119,<p>For the Insertion sort algorithm; what is its best case and worst case performance?</p>
120,<p>For the selection sort algorithm; what is its best case and worst case running time?</p>
121,<p>You see the expression <code>n = 100000</code> in some code that successfully compiles. What type can <code>n</code> not be?</p>
122,"<p>Suppose you try to perform a binary search on the unsorted array {1, 4, 3, 7, 15, 9, 24}. Which element will not be found when you try searching for it?</p>"
125,"
<p>Fill in the single missing line of code:<br><code>int p, *r, **q;</code></p>
<pre lang=""text/x-c"">p = 27;
r = &amp;p;
</pre>
<p>// MISSING LINE<br><code>printf(""The value is %d"", **q); // prints 27.</code></p>
"
126,<p>What would be the performance of removeMin and insert methods in a priority queue if it is implemented by a sorted list?</p>
127,"
<p>What is the value of j after this code is executed?</p>
<p>int i = 6, j = 10;</p>
<p>j += i;</p>
"
128,"
<p>Suppose q is an instance of a queue that can store Strings, and I execute the following statements starting with q empty:</p>
<pre lang=""text/x-java"">1. q.enqueue(""Sweden"");
2. q.enqueue(""is"");
3. q.enqueue(""my"");
4. String w = q.dequeue();
5. String x = q.peek();
6. q.enqueue(""neighbor"");
7. String y = q.dequeue();
8. String z = q.dequeue();
</pre>
<p>&nbsp;</p>
<p>What is the value of z after executing these expressions in order?</p>
"
129,<p>Which of the following parts of a process&rsquo; memory is the largest?</p>
130,<p>Prim&rsquo;s Algorithm is used to solve what problem?</p>
131,"
<p>Suppose you have a tree with a maximum depth of d and an average branching factor of b (i.e. each node has b children). You are searching for a particular node S located at depth m (m &lt;= d). You don't know where the node S is located, just that it is at depth m.</p>
<p>What is an upper bound on the <em>space</em> complexity of breadth-first search (i.e. big-O notation) to find the node S starting from the root?</p>
"
132,<p>Which of the following abstract datatypes would be the best choice for part of the implementation of the back button on a Web browser?</p>
133,<p>Which of the following abstract datatypes would be the best choice for part of the implementation of&nbsp;a program modeling the arrival of patients to an emergency room in a hospital?</p>
134,<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs N/2 operations. Algorithm B performs N log N operations. Under what conditions does algorithm A offer better performance?</p>
135,<p>When is an adjacency matrix a good choice for implementing a graph?</p>
136,<p>What is true about the pivot in quicksort?</p>
137,<p>When is an adjacency list a good choice for implementing a graph?</p>
138,"<p>You've got an algorithm that is O(N<sup>2</sup>). On the first run, you feed it a collection of size M. On the second run, you feed it a collection of size M / 2. Assuming each run has worst-case performance, how much time does the second run take?<span style=""font-size: small;""><br></span></p>"
